landlot_address,road_name_address,x,y
경기도 수원시 권선구 오목천동 667번지 1호,경기도 수원시 권선구 서수원로99번길 16 (오목천동),197531.4826,414958.2596
경기도 수원시 권선구 세류동 1081번지 청솔오피스텔,"경기도 수원시 권선구 장다리로 64, 청솔오피스텔 102호 (세류동)",201730.4317,417114.7241
경기도 수원시 권선구 호매실동 1340 수원호매실휴먼시아7단지아파트,"경기도 수원시 권선구 금곡로102번길 126, 상가동 103호 (호매실동, 수원호매실휴먼시아7단지아파트)",194768.9452,418546.191
경기도 수원시 권선구 서둔동 17번지 242호,"경기도 수원시 권선구 세화로151번길 32, 1층 (서둔동)",199213.3841,418134.7321
경기도 수원시팔달구 매산로2가 11번지 6호,경기도 수원시 팔달구 갓매산로 56 (매산로2가),200346.6757,418604.4717
경기도 수원시권선구 곡반정동 호 23블럭9롯트,,,
경기도 수원시 장안구 조원동 893 아울렛쇼핑타운,"경기도 수원시 장안구 경수대로 950, 아울렛쇼핑타운 1동 4층 424호 (조원동)",200590.5117,422392.3846
경기도 수원시 영통구 영통동 964-8 신나무실주공아파트,"경기도 수원시 영통구 영통로290번길 23, 신나무실주공아파트 상가동 1층 104호,105호 (영통동)",205453.1563,416653.3588
경기도 수원시 권선구 세류2동 548번지 19호 1층,"경기도 수원시 권선구 덕영대로1070번길 6, 1층 (세류동)",200714.262,416971.4244
경기도 수원시권선구 권선동 1162번지 16  호,경기도 수원시 권선구 권중로15번길 3 (권선동),202864.6325,417117.1654
경기도 수원시 팔달구 매산로1가 18 AK플라자,"경기도 수원시 팔달구 덕영대로 924, 수원역 국철하행, AK플라자 (매산로1가)",199920.1947,418246.9271
경기도 수원시팔달구 매산로1가 수원역 전철하행,,,
경기도 수원시 팔달구 매산로1가 18 AK플라자,"경기도 수원시 팔달구 덕영대로 924, 국철 맞이방, AK플라자 (매산로1가)",199920.1947,418246.9271
경기도 수원시권선구 곡반정동 592번지 7호,경기도 수원시 권선구 곡반정로19번길 69 (곡반정동),202239.5101,414734.2291
경기도 수원시권선구 권선동 1166번지 4호,경기도 수원시 권선구 권선로 774-1 (권선동),203089.0034,417182.1702
경기도 수원시영통구 매탄동 1231번지 1   호,경기도 수원시 영통구 매영로 134 (매탄동),204993.3495,418275.538
경기도 수원시팔달구 우만동 135번지 62  호,경기도 수원시 팔달구 중부대로183번길 40 (우만동),203257.063,419629.6239
경기도 수원시팔달구 지동 111번지 13  호,경기도 수원시 팔달구 세지로306번길 33 (지동),202200.8359,419552.8792
경기도 수원시팔달구 인계동 1026번지 9   호,경기도 수원시 팔달구 효원로219번길 36 (인계동),202300.9236,418105.0716
경기도 수원시 권선구 권선동 1274 신동아아파트,"경기도 수원시 권선구 권중로 136, 110호, 111호 (권선동, 신동아아파트)",202772.6462,416289.5657
경기도 수원시영통구 원천동 203번지 7   호,경기도 수원시 영통구 동탄원천로1119번길 13 (원천동),205143.7611,418638.1424
경기도 수원시 권선구 권선동 1189번지,경기도 수원시 권선구 경수대로 270 (권선동),201782.7331,416501.6997
